,Document ID,#FRAGMENT_SUPPRESSED,#REFERENCE_SUPPRESSED,#CITATION_SUPPRESSED,#Golden_Citations,Difference
768,056342.txt,32,0,0,9,23
769,037853.txt,67,0,0,31,36
770,019700.txt,19,0,0,2,17
771,079672.txt,21,0,0,4,17
772,075139.txt,8,0,0,2,6
773,058009.txt,19,0,0,15,4
774,098080.txt,22,0,0,1,21
775,012713.txt,3,0,0,3,0
776,007286.txt,0,19,17,8,11
777,006304.txt,0,13,2,9,4
778,001371.txt,50,0,0,16,34
779,036157.txt,0,2,3,3,-1
780,053270.txt,21,0,0,2,19
781,027247.txt,0,10,1,1,9
782,014746.txt,6,0,0,1,5
783,075124.txt,26,0,0,3,23
784,016438.txt,11,0,0,4,7
785,096562.txt,7,0,0,1,6
786,099508.txt,0,1,1,1,0
787,028587.txt,39,0,0,3,36
788,075485.txt,11,0,0,3,8
789,089375.txt,33,0,0,4,29
790,000669.txt,12,0,0,4,8
791,056799.txt,0,4,2,2,2
792,055641.txt,278,0,0,1,277
793,035591.txt,9,0,0,4,5
794,001499.txt,7,0,0,1,6
795,035797.txt,33,0,0,5,28
796,031441.txt,19,0,0,2,17
797,087535.txt,0,10,5,5,5
798,012796.txt,26,0,0,6,20
799,003351.txt,9,0,0,1,8
800,072292.txt,9,0,0,3,6
801,036579.txt,17,0,0,10,7
802,015997.txt,24,0,0,10,14
803,064402.txt,6,0,0,1,5
804,038217.txt,7,0,0,3,4
805,076011.txt,0,6,20,11,-5
806,025532.txt,25,0,0,3,22
807,060126.txt,25,0,0,3,22
808,053438.txt,12,0,0,2,10
809,085782.txt,0,14,15,10,4
810,056717.txt,12,0,0,3,9
811,001322.txt,14,0,0,2,12
812,043560.txt,0,11,3,4,7
813,013611.txt,29,0,0,15,14
814,046955.txt,0,11,2,11,0
815,035275.txt,16,0,0,7,9
816,078422.txt,18,0,0,2,16
817,076777.txt,4,0,0,2,2
818,079200.txt,8,0,0,1,7
819,037809.txt,22,0,0,7,15
820,020951.txt,0,64,55,10,54
821,073279.txt,0,7,4,1,6
822,079849.txt,15,0,0,2,13
823,031641.txt,5,0,0,4,1
824,074927.txt,0,13,8,7,6
825,061668.txt,0,8,4,5,3
826,040853.txt,13,0,0,3,10
827,024374.txt,26,0,0,10,16
828,068518.txt,13,0,0,3,10
829,011646.txt,6,0,0,2,4
830,046478.txt,49,0,0,6,43
831,099187.txt,43,0,0,34,9
832,014909.txt,27,0,0,3,24
833,018605.txt,25,0,0,5,20
834,075817.txt,0,10,7,11,-1
835,066101.txt,8,0,0,1,7
836,024290.txt,33,0,0,4,29
837,011447.txt,20,0,0,1,19
838,005082.txt,4,0,0,3,1
839,021995.txt,0,13,14,7,6
840,079285.txt,0,12,15,3,9
841,084325.txt,34,0,0,7,27
842,098576.txt,10,0,0,2,8
843,037117.txt,37,0,0,9,28
844,099372.txt,0,4,1,2,2
845,014045.txt,13,0,0,1,12
846,008447.txt,6,0,0,4,2
847,055899.txt,10,0,0,2,8
848,003347.txt,30,0,0,5,25
849,037011.txt,8,0,0,4,4
850,037341.txt,0,11,6,4,7
851,040239.txt,24,0,0,4,20
852,015966.txt,13,0,0,7,6
853,037221.txt,5,0,0,2,3
854,076108.txt,7,0,0,1,6
855,044675.txt,9,0,0,6,3
856,072418.txt,15,0,0,1,14
857,096671.txt,20,0,0,2,18
858,052633.txt,0,7,4,6,1
859,083595.txt,0,7,2,6,1
860,096966.txt,0,15,10,9,6
861,024022.txt,0,12,6,10,2
862,059329.txt,22,0,0,4,18
863,065299.txt,0,7,8,3,4
864,081803.txt,26,0,0,11,15
865,096679.txt,16,0,0,3,13
866,011976.txt,10,0,0,7,3
867,088152.txt,17,0,0,6,11
868,068921.txt,0,14,8,3,11
869,004541.txt,12,0,0,12,0
870,007365.txt,0,13,16,2,11
871,087257.txt,0,11,20,8,3
872,067860.txt,20,0,0,4,16
873,020351.txt,16,0,0,4,12
874,023554.txt,2,0,0,1,1
875,060132.txt,0,27,17,1,26
876,002716.txt,0,11,7,7,4
877,039187.txt,0,1,1,1,0
878,026273.txt,21,0,0,1,20
879,069868.txt,45,0,0,9,36
880,086163.txt,0,2,0,2,0
881,018383.txt,0,18,25,6,12
882,028359.txt,21,0,0,13,8
883,017147.txt,9,0,0,4,5
884,000092.txt,20,0,0,7,13
885,000447.txt,24,0,0,3,21
886,048230.txt,7,0,0,2,5
887,065127.txt,17,0,0,6,11
888,007283.txt,0,4,4,2,2
889,068587.txt,13,0,0,6,7
890,042472.txt,29,0,0,2,27
891,052766.txt,13,0,0,2,11
892,054375.txt,19,0,0,4,15
893,037317.txt,18,0,0,4,14
894,050666.txt,0,1,0,2,-1
895,052964.txt,45,0,0,1,44
896,027678.txt,71,0,0,1,70
897,082631.txt,0,10,4,6,4
